Competicao;Mandante;Visitante;Resultado;Gestao;Gols_Pro;Gols_Contra;Status_Jogo
Copa Sul-Americana;São Paulo;Ayacucho FC;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Ceará;2:2;Julio Casares (2021-Presente);2;2;Empate
Campeonato Brasileiro Série A;Avaí;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;Coritiba;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;América-MG;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;Botafogo;São Paulo;1:0;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;São Paulo;Palmeiras;1:2;Julio Casares (2021-Presente);1;2;Derrota
Copa do Brasil;São Paulo;Palmeiras;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Juventude;0:0;Julio Casares (2021-Presente);0;0;Empate
Copa Sul-Americana;Univ. Católica;São Paulo;2:4;Julio Casares (2021-Presente);4;2;Vitória
Campeonato Brasileiro Série A;Atlético-GO;São Paulo;1:2;Julio Casares (2021-Presente);2;1;Vitória
Copa Sul-Americana;São Paulo;Univ. Católica;4:1;Julio Casares (2021-Presente);4;1;Vitória
Campeonato Brasileiro Série A;Atlético-MG;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;São Paulo;Fluminense;2:2;Julio Casares (2021-Presente);2;2;Empate
Campeonato Brasileiro Série A;Internacional;São Paulo;3:3;Julio Casares (2021-Presente);3;3;Empate
Campeonato Brasileiro Série A;São Paulo;Goiás;3:3;Julio Casares (2021-Presente);3;3;Empate
Copa do Brasil;São Paulo;América-MG;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;Athletico-PR;São Paulo;1:0;Julio Casares (2021-Presente);0;1;Derrota
Copa Sul-Americana;São Paulo;Ceará;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Flamengo;0:2;Julio Casares (2021-Presente);0;2;Derrota
Campeonato Brasileiro Série A;São Paulo;Bragantino;3:0;Julio Casares (2021-Presente);3;0;Vitória
Copa do Brasil;América-MG;São Paulo;2:2;Julio Casares (2021-Presente);2;2;Empate
Campeonato Brasileiro Série A;Santos;São Paulo;1:0;Julio Casares (2021-Presente);0;1;Derrota
Copa do Brasil;São Paulo;Flamengo;1:3;Julio Casares (2021-Presente);1;3;Derrota
Campeonato Brasileiro Série A;São Paulo;Fortaleza;0:1;Julio Casares (2021-Presente);0;1;Derrota
Copa Sul-Americana;Atlético-GO;São Paulo;3:1;Julio Casares (2021-Presente);1;3;Derrota
Campeonato Brasileiro Série A;Cuiabá;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Corinthians;1:1;Julio Casares (2021-Presente);1;1;Empate
Copa do Brasil;Flamengo;São Paulo;1:0;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;Ceará;São Paulo;0:2;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Avaí;4:0;Julio Casares (2021-Presente);4;0;Vitória
Copa Sul-Americana;São Paulo;Independiente;0:2;Julio Casares (2021-Presente);0;2;Derrota
Campeonato Brasileiro Série A;América-MG;São Paulo;1:2;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Brasileiro Série A;São Paulo;Botafogo;0:1;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;Palmeiras;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;São Paulo;Coritiba;3:1;Julio Casares (2021-Presente);3;1;Vitória
Campeonato Brasileiro Série A;Juventude;São Paulo;1:2;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Brasileiro Série A;São Paulo;Atlético-GO;2:1;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Brasileiro Série A;São Paulo;Atlético-MG;2:2;Julio Casares (2021-Presente);2;2;Empate
Campeonato Brasileiro Série A;Fluminense;São Paulo;3:1;Julio Casares (2021-Presente);1;3;Derrota
Campeonato Brasileiro Série A;São Paulo;Internacional;0:1;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;Goiás;São Paulo;0:4;Julio Casares (2021-Presente);4;0;Vitória
Campeonato Paulista;São Paulo;Ituano;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Paulista;Ferroviária;São Paulo;1:2;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Paulista;Palmeiras;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Paulista;São Paulo;Portuguesa;4:1;Julio Casares (2021-Presente);4;1;Vitória
Campeonato Paulista;São Paulo;Corinthians;1:2;Julio Casares (2021-Presente);1;2;Derrota
Campeonato Paulista;Santo André;São Paulo;0:1;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Paulista;Bragantino;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Campeonato Paulista;São Paulo;Santos;3:1;Julio Casares (2021-Presente);3;1;Vitória
Campeonato Paulista;São Paulo;Inter Limeira;5:1;Julio Casares (2021-Presente);5;1;Vitória
Campeonato Paulista;São Bento;São Paulo;0:3;Julio Casares (2021-Presente);3;0;Vitória
